epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2908.81,1.25525,0.89075,1.16793,0.59307,0.47087,0.49495,0.29172,1.54637,0.99648,1.15572,0.0056961,0.0056961,0.0056961
57,2954.81,1.24423,0.86743,1.15523,0.61665,0.49173,0.52727,0.30604,1.52866,0.98562,1.14174,0.00556742,0.00556742,0.00556742
58,3003.95,1.2731,0.88972,1.16483,0.64469,0.47595,0.5312,0.31062,1.53844,0.97732,1.14574,0.00543837,0.00543837,0.00543837
59,3050.19,1.2558,0.86279,1.16254,0.69088,0.49309,0.53245,0.31467,1.52275,0.97657,1.13849,0.00530906,0.00530906,0.00530906
60,3096.74,1.25656,0.85469,1.15983,0.62513,0.51126,0.53887,0.31579,1.52707,0.95826,1.13717,0.00517958,0.00517958,0.00517958
61,3145.99,1.23475,0.86029,1.14333,0.64084,0.51612,0.5491,0.32729,1.51915,0.95738,1.13629,0.00505,0.00505,0.00505
62,3192.7,1.23931,0.85206,1.15355,0.64756,0.52935,0.55896,0.3301,1.52219,0.94695,1.13816,0.00492042,0.00492042,0.00492042
63,3239.38,1.23856,0.84272,1.15232,0.63687,0.52526,0.55378,0.32843,1.51544,0.95116,1.14155,0.00479094,0.00479094,0.00479094
64,3286.6,1.20785,0.81899,1.14885,0.63956,0.52579,0.56696,0.3319,1.49733,0.93065,1.13171,0.00466163,0.00466163,0.00466163
65,3337.16,1.22526,0.81526,1.15268,0.60763,0.5038,0.53826,0.31328,1.52101,0.94449,1.14077,0.00453258,0.00453258,0.00453258
66,3388.21,1.21827,0.83073,1.14894,0.63359,0.50608,0.54017,0.32077,1.51818,0.94486,1.14024,0.0044039,0.0044039,0.0044039
67,3434.42,1.21595,0.80998,1.13998,0.65587,0.51179,0.54532,0.3219,1.50808,0.95402,1.1377,0.00427565,0.00427565,0.00427565
68,3480.57,1.20776,0.79664,1.13749,0.65161,0.51892,0.56177,0.32777,1.53711,0.93811,1.14544,0.00414793,0.00414793,0.00414793
69,3526.7,1.20508,0.80417,1.1497,0.65277,0.50129,0.54403,0.31798,1.54117,0.94915,1.14744,0.00402084,0.00402084,0.00402084
70,3585.94,1.20381,0.79109,1.13382,0.64298,0.52932,0.56232,0.33004,1.50575,0.93617,1.14211,0.00389445,0.00389445,0.00389445
71,3632.25,1.19142,0.78628,1.14688,0.62865,0.54383,0.55982,0.33671,1.50396,0.91927,1.13679,0.00376885,0.00376885,0.00376885
72,3679.51,1.1791,0.78253,1.14133,0.64627,0.55066,0.56723,0.33741,1.48617,0.91065,1.12745,0.00364412,0.00364412,0.00364412
